City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,kapuskasing,49.4169,-82.4331,22.05,64,75,4.12,CA,1722229341
299,klyuchi,52.2667,79.1667,24.38,43,57,4.39,RU,1722229342
300,turaif,31.6725,38.6637,25.14,36,0,4.12,SA,1722229343
301,biloela,-24.4167,150.5,20.25,17,0,8.1,AU,1722229345
302,kitimat,54.0524,-128.6534,15.21,61,100,1.79,CA,1722229346
303,mangai,-4.05,19.5333,18.66,48,48,1.15,CD,1722229347
304,rikaze,29.25,88.8833,21.44,21,1,0.29,CN,1722229348
305,beni,0.5,29.4667,17.18,96,45,0.51,CD,1722229349
306,kenora,49.8167,-94.4337,21.54,68,40,3.09,CA,1722229350
307,ilebo,-4.3167,20.5833,18.52,41,58,0.64,CD,1722229352
308,sogamoso,5.7143,-72.9339,10.43,95,55,1.42,CO,1722229353
309,semera,11.501,41.201,29.37,52,50,2.33,ET,1722229354
310,targu carbunesti,44.95,23.5167,24.08,44,0,0.51,RO,1722229355
311,mount gambier,-37.8333,140.7667,12.52,55,63,2.27,AU,1722229356
312,jinghong,21.991,100.7341,23.47,99,100,0.86,CN,1722229358
313,lebu,-37.6167,-73.65,4.56,68,17,5.51,CL,1722229359
314,egilsstadir,65.2653,-14.3948,13.95,67,75,6.69,IS,1722229360
315,queenstown,-31.8976,26.8753,-0.2,69,3,2.96,ZA,1722229361
316,altai,46.3722,96.2583,23.98,24,35,1.16,MN,1722229362
317,shalqar,47.8333,59.6,27.07,26,43,6.01,KZ,1722229363
318,cockburn town,21.4612,-71.1419,27.63,82,100,7.71,TC,1722229365
319,meulaboh,4.1363,96.1285,28.74,66,100,1.22,ID,1722229366
320,sur,22.5667,59.5289,32.85,60,95,2.81,OM,1722229367
321,dunedin,-45.8742,170.5036,8.22,99,100,5.73,NZ,1722229368
322,lundazi,-12.2929,33.1782,14.57,32,0,2.21,ZM,1722229369
323,saipan,15.1355,145.701,29.32,73,39,3.32,MP,1722229370
324,kinablangan,7.6947,126.5503,28.2,80,58,3.44,PH,1722229372
325,vadso,70.0744,29.7487,15.49,94,40,6.69,NO,1722229373
326,mana,5.6592,-53.7767,24.55,87,13,4.11,GF,1722229374
327,saint-joseph,-21.3667,55.6167,22.21,67,5,1.93,RE,1722229375
328,upington,-28.4478,21.2561,0.21,80,0,0.51,ZA,1722229376
329,nishinoomote,30.7333,131.0,31.31,79,40,5.66,JP,1722229378
330,porto seguro,-16.4497,-39.0647,21.29,88,40,1.03,BR,1722229379
331,chibougamau,49.9168,-74.3659,19.79,64,0,3.6,CA,1722229296
332,alice springs,-23.7,133.8833,16.75,25,0,7.2,AU,1722229381
333,lamu,-2.2717,40.902,25.35,81,60,6.42,KE,1722229382
334,bereznik,62.8551,42.7072,13.5,72,100,2.5,RU,1722229383
335,kattivakkam,13.2167,80.3167,33.41,63,98,8.86,IN,1722229385
336,bryne,58.7354,5.6477,12.54,95,0,1.03,NO,1722229386
337,zaysan,47.4667,84.8667,32.42,30,48,4.36,KZ,1722229387
338,bandon,51.7469,-8.7425,12.77,94,54,1.42,IE,1722229388
339,kununurra,-15.7667,128.7333,28.99,28,88,4.63,AU,1722229389
340,ottawa,45.4112,-75.6981,19.86,83,3,0.69,CA,1722228692
341,serro,-18.6047,-43.3794,13.39,82,29,1.23,BR,1722229272
342,ponta delgada,37.7333,-25.6667,23.4,94,75,4.12,PT,1722229393
343,baiti,13.745,-14.7482,25.16,84,100,2.75,SN,1722229394
344,privolzhskiy,51.4,46.0333,25.73,31,95,4.68,RU,1722229203
345,lai,9.3952,16.2989,21.54,95,98,1.8,TD,1722229396
346,hithadhoo,-0.6,73.0833,28.96,71,100,4.57,MV,1722229398
347,minas de marcona,-15.2119,-75.1103,9.98,90,32,3.62,PE,1722229399
348,kirkland lake,48.1446,-80.0377,20.16,73,99,1.03,CA,1722229400
349,upper hutt,-41.1383,175.0502,14.8,71,100,3.78,NZ,1722229401
350,colonia,50.9333,6.95,14.98,89,13,1.33,DE,1722229402
351,taoudenni,22.6783,-3.9836,36.25,12,34,3.47,ML,1722229403
352,kloulklubed,7.0419,134.2556,28.56,70,96,2.13,PW,1722229405
353,yelabuga,55.7613,52.0649,16.75,63,100,3.03,RU,1722229406
354,rehoboth,-23.3167,17.0833,2.8,55,0,1.21,NA,1722229407
355,ust-nera,64.5667,143.2,22.77,35,100,3.47,RU,1722229408
356,akobo,7.4344,3.9497,20.98,97,100,1.46,NG,1722229409
357,malvan,16.0667,73.4667,28.07,85,74,10.88,IN,1722229410
358,machico,32.7,-16.7667,23.35,80,40,2.06,PT,1722229412
359,bamboo flat,11.7,92.7167,31.05,74,75,8.3,IN,1722229413
360,vila franca do campo,37.7167,-25.4333,23.23,93,64,1.57,PT,1722229414
361,xiva,41.3783,60.3639,25.99,17,98,7.03,UZ,1722229415
362,kuqa,41.7278,82.9364,36.41,16,100,0.95,CN,1722229215
363,mithi,24.7318,69.7981,32.25,62,97,4.79,PK,1722229417
364,tubarjal,30.4999,38.216,28.22,35,0,6.88,SA,1722229419
365,sines,37.9562,-8.8698,19.27,92,94,1.53,PT,1722229420
